glider,deploy,missionElapsed,distTot_km,distCov_km,distRem_km,avgSpd_km_day,avgTrkSpd_km_day,avgSpdRec_km_day,missionRem,missionRemRec,eta,etaRec,plannedRecov
sg274,2026-Feb-14 09:57 UTC,57.6201967592593,1133.23327880889,1080.72059396577,133.210354218342,19.6672927644383,18.7559337653964,12.6361454883935,7.10230457649128,10.5420085848725,2026-Apr-19 17:00 UTC-10:00,2026-Apr-23 04:00 UTC-10:00,2026-Apr-20 09:00 UTC-10:00
sg607,2026-Feb-10 11:08 UTC,55.3381365740741,1083.55613230534,1059.99674015378,0.268540062606237,19.5806400321218,19.1549048409843,18.7270160910485,0.0140193890199685,0.0143397144158272,2026-Apr-06 10:00 UTC-10:00,2026-Apr-06 10:00 UTC-10:00,2026-Apr-06 09:00 UTC-10:00
sg639,2026-Feb-11 20:06 UTC,60.1694560185185,1346.63841693416,1239.56260555295,24.4235408592717,22.3807643618998,20.6011934887936,21.6673164212772,1.18554009371143,1.12720654392105,2026-Apr-13 19:00 UTC-10:00,2026-Apr-13 17:00 UTC-10:00,2026-Apr-14 09:00 UTC-10:00
sg679,2026-Feb-05 20:47 UTC,66.1239930555556,1244.67278245589,1208.82220785171,21.0151826190732,18.8233154856536,18.2811435303988,16.4511902618849,1.14955514594194,1.27742627035093,2026-Apr-13 17:00 UTC-10:00,2026-Apr-13 20:00 UTC-10:00,2026-Apr-14 09:00 UTC-10:00
