,time_unix,lon,lat,date time
87,1769722089,-15818.484,2111.0545,2026-01-29 21:28:09
88,1769722121,-15818.4785,2111.0542,2026-01-29 21:28:41
89,1769724252,-15818.7464,2111.0748,2026-01-29 22:04:12
90,1769724288,-15818.7401,2111.075,2026-01-29 22:04:48
91,1769725023,-15818.5931,2111.0897,2026-01-29 22:17:03
92,1769725062,-15818.5856,2111.0899,2026-01-29 22:17:42
93,1769725098,-15818.578,2111.0893,2026-01-29 22:18:18
94,1769729432,-15819.2322,2110.9631,2026-01-29 23:30:32
95,1769729468,-15819.2291,2110.9616,2026-01-29 23:31:08
96,1769741454,-15819.8611,2112.4704,2026-01-30 02:50:54
97,1769741486,-15819.8595,2112.4651,2026-01-30 02:51:26
98,1769741522,-15819.8585,2112.4607,2026-01-30 02:52:02
99,1769741558,-15819.8602,2112.4568,2026-01-30 02:52:38
100,1769752361,-15819.7141,2114.4301,2026-01-30 05:52:41
101,1769752397,-15819.7082,2114.4291,2026-01-30 05:53:17
102,1769753133,-15819.5961,2114.432,2026-01-30 06:05:33
103,1769753169,-15819.5927,2114.4327,2026-01-30 06:06:09
104,1769764486,-15819.1989,2116.2023,2026-01-30 09:14:46
105,1769764522,-15819.1904,2116.1996,2026-01-30 09:15:22
106,1769765096,-15819.0465,2116.1576,2026-01-30 09:24:56
107,1769765132,-15819.0368,2116.1534,2026-01-30 09:25:32
108,1769765168,-15819.0286,2116.1513,2026-01-30 09:26:08
109,1769776414,-15818.8719,2117.8495,2026-01-30 12:33:34
110,1769776450,-15818.8689,2117.8407,2026-01-30 12:34:10
111,1769776994,-15818.8168,2117.7178,2026-01-30 12:43:14
112,1769777030,-15818.8143,2117.7093,2026-01-30 12:43:50
113,1769777062,-15818.8104,2117.7029,2026-01-30 12:44:22
114,1769788856,-15818.9855,2119.6032,2026-01-30 16:00:56
115,1769788892,-15818.9895,2119.6037,2026-01-30 16:01:32
116,1769789548,-15819.0407,2119.6154,2026-01-30 16:12:28
117,1769789584,-15819.0428,2119.6178,2026-01-30 16:13:04
118,1769789620,-15819.0469,2119.6165,2026-01-30 16:13:40
119,1769789652,-15819.05,2119.6182,2026-01-30 16:14:12
120,1769802484,-15819.026,2121.512,2026-01-30 19:48:04
121,1769802521,-15819.0253,2121.5112,2026-01-30 19:48:41
122,1769803091,-15819.0213,2121.4904,2026-01-30 19:58:11
123,1769803127,-15819.0204,2121.4889,2026-01-30 19:58:47
124,1769803163,-15819.0198,2121.4852,2026-01-30 19:59:23
125,1769816041,-15818.743,2122.8809,2026-01-30 23:34:01
126,1769816081,-15818.7447,2122.8708,2026-01-30 23:34:41
127,1769816736,-15818.7395,2122.7811,2026-01-30 23:45:36
128,1769816772,-15818.7394,2122.776,2026-01-30 23:46:12
129,1769816808,-15818.7381,2122.7716,2026-01-30 23:46:48
130,1769830568,-15818.7413,2124.5502,2026-01-31 03:36:08
131,1769830605,-15818.7504,2124.5552,2026-01-31 03:36:45
132,1769831208,-15818.9071,2124.6399,2026-01-31 03:46:48
133,1769831244,-15818.9158,2124.6435,2026-01-31 03:47:24
134,1769831276,-15818.9262,2124.6494,2026-01-31 03:47:56
135,1769845147,-15818.9224,2127.1626,2026-01-31 07:39:07
136,1769845183,-15818.9253,2127.1629,2026-01-31 07:39:43
137,1769845985,-15819.0128,2127.1848,2026-01-31 07:53:05
138,1769846017,-15819.0144,2127.1834,2026-01-31 07:53:37
139,1769846053,-15819.0101,2127.1791,2026-01-31 07:54:13
140,1769853607,-15818.7491,2128.2844,2026-01-31 10:00:07
141,1769853644,-15818.749,2128.2831,2026-01-31 10:00:44
142,1769854100,-15818.744,2128.2584,2026-01-31 10:08:20
143,1769854136,-15818.7438,2128.2556,2026-01-31 10:08:56
144,1769854172,-15818.7446,2128.2531,2026-01-31 10:09:32
145,1769861467,-15818.27,2129.0301,2026-01-31 12:11:07
146,1769861503,-15818.2698,2129.0254,2026-01-31 12:11:43
147,1769861962,-15818.265,2128.9676,2026-01-31 12:19:22
148,1769861998,-15818.2664,2128.965,2026-01-31 12:19:58
149,1769862034,-15818.2669,2128.9623,2026-01-31 12:20:34
150,1769869478,-15818.2877,2129.8906,2026-01-31 14:24:38
151,1769869518,-15818.2942,2129.8912,2026-01-31 14:25:18
152,1769870073,-15818.3932,2129.9124,2026-01-31 14:34:33
153,1769870109,-15818.4011,2129.9146,2026-01-31 14:35:09
154,1769884830,-15819.1307,2132.6021,2026-01-31 18:40:30
155,1769884862,-15819.1371,2132.6069,2026-01-31 18:41:02
156,1769885483,-15819.233,2132.6876,2026-01-31 18:51:23
157,1769885519,-15819.2374,2132.6927,2026-01-31 18:51:59
158,1769885551,-15819.2402,2132.6955,2026-01-31 18:52:31
159,1769899676,-15818.0494,2131.4013,2026-01-31 22:47:56
160,1769899716,-15818.0396,2131.3986,2026-01-31 22:48:36
161,1769900479,-15817.8765,2131.3577,2026-01-31 23:01:19
162,1769900511,-15817.8683,2131.3567,2026-01-31 23:01:51
163,1769900547,-15817.8545,2131.3463,2026-01-31 23:02:27
